Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DasBlog.CLI\DasBlog.CLI.csproj,File,DasBlog.CLI\DasBlog.CLI.csproj,,,Microsoft.Extensions.Configuration 8.0.0,,,,,"Microsoft.Extensions.Configuration, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DasBlog.CLI\DasBlog.CLI.csproj,File,DasBlog.CLI\DasBlog.CLI.csproj,,,Microsoft.Extensions.Configuration.Xml 8.0.1,,,,,"Microsoft.Extensions.Configuration.Xml, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Configuration.Xml, and replace with new package Microsoft.Extensions.Configuration.Xml 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DasBlog.CLI\DasBlog.CLI.csproj,File,DasBlog.CLI\DasBlog.CLI.csproj,,,Microsoft.Extensions.DependencyInjection 8.0.1,,,,,"Microsoft.Extensions.DependencyInjection, 8.0.1  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DasBlog.CLI\DasBlog.CLI.csproj,File,DasBlog.CLI\DasBlog.CLI.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 8.0.2,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 8.0.2  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DasBlog.CLI\DasBlog.CLI.csproj,File,DasBlog.CLI\DasBlog.CLI.csproj,,,Microsoft.Extensions.Options 8.0.2,,,,,"Microsoft.Extensions.Options, 8.0.2  Recommendation:  Remove Microsoft.Extensions.Options, and replace with new package Microsoft.Extensions.Options 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DasBlog.CLI\DasBlog.CLI.csproj,File,DasBlog.CLI\DasBlog.CLI.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DasBlog.CLI\DasBlog.CLI.csproj,File,DasBlog.CLI\Program.cs,84,7,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(ASPNETCORE_ENV_NAME, null);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DasBlog.CLI\DasBlog.CLI.csproj,File,DasBlog.CLI\Program.cs,80,7,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(ASPNETCORE_ENV_NAME, val.Value);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DasBlog.CLI\DasBlog.CLI.csproj,File,DasBlog.CLI\Program.cs,46,3,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"service  				.Configure<SiteConfig>(Configuration)  				.AddSingleton<IUserDataRepo, UserDataRepo>()  				.AddSingleton<IUserService, UserService>()  				.AddSingleton<IConfigFileService<SiteConfig>, SiteConfigFileService>()  				.AddSingleton<IConfigFileService<SiteSecurityConfigData>, SiteSecurityConfigFileService>()  				.BuildServiceProvider();"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DasBlog.Core\DasBlog.Core.csproj,File,DasBlog.Core\DasBlog.Core.csproj,,,Microsoft.Extensions.Options 8.0.2,,,,,"Microsoft.Extensions.Options, 8.0.2  Recommendation:  Remove Microsoft.Extensions.Options, and replace with new package Microsoft.Extensions.Options 10.0.3"
